title,creators,collection,tags,call_number,ddc,lcc,lendings
"Decision Book","Mikael Krogerus, Roman Tschappeler",Philippines,,,153.83,BF448,0
"Champion of Fate","Kendare Blake",Philippines,,,,,0
"Solve for Happy: Engineer Your Path to Joy","Mo Gawdat",Philippines,,,158,BF575.H27,0
"Bonfire Moment","Martin Gonzalez, Joshua Yellin",Philippines,,,,,0
"Surrounded by Bad Bosses (and Lazy Employees)","Thomas Erikson",Philippines,,,650.13,HF5548.83,0
"Change Book","Mikael Krogerus, Roman Tschappeler",Philippines,,,,,0
"Surrounded by Liars","Thomas Erikson",Philippines,,,302.2,HM1166.E74313,0
"One Piece: East Blue 1-2-3","Eiichiro Oda",Philippines,,,741.5952,PN6790.J33,0
"Frieren: Beyond Journey's End, Vol. 1","Kanehito Yamada",Philippines,,,,,0
"Get Things Done Book","Mikael Krogerus",Philippines,,,,,0
"No Excuses!: The Power of Self-Discipline","Brian Tracy",Philippines,,,158.1,BF632,0
"Elon Musk","Walter Isaacson",Philippines,,,,,0
"Hidden Potential: The Science of Achieving Greater Things","Adam Grant",Philippines,,,,,0
"You've Reached Sam","Dustin Thao",Philippines,,,,,0
"Dinosaurium (Welcome To The Museum)","Lily Murray",Philippines,"mak03 loan",,567.9,QE862.D5,0
"Animalium (Welcome To The Museum)","Katie Scott (illustrator) Jenny Broom (author)",Philippines,"mak03 loan",,590,QL49,0
Anatomicum,"Jennifer Z Paxton",Philippines,"mak03 loan",,611,QM27,0
"Art of Ponyo (PONYO ON THE CLIFF)","Hayao Miyazaki",Philippines,"mak03 loan",,791.4372,NC1766.J32,0
"Art of the Tale of the Princess Kaguya","Isao Takahata",Philippines,"mak03 loan",,791.4372,"PN1997.2.T334 A78",0
"Art of Howl's Moving Castle","Hayao Miyazaki",Philippines,"mak03 loan",,791.4334,NC1766.J33,0
"Studio Ghibli: the Complete Works","Studio Studio Ghibli",Philippines,"mak03 loan",,,,0
"Mary Shelley","Isabel Sanchez Vegara",Philippines,"mak03 loan",,823.7,PR5398,0
